kode_mk,nama_mk,minggu,materi,pustaka_tersedia,bab
TSI3641,Software Testing dan Quality Assurance,15/16,Struktur laporan QA; metrik; rekomendasi perbaikan; presentasi,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3641,Software Testing dan Quality Assurance,16/16,Materi Minggu 9–15,"P1 = Pressman, R. S. (2014). Software engineering: A practitioner | P2 = Myers, G. J., Sandler, C., & Badgett, T. (2016). The art of  | P3 = Fewster, M., & Graham, D. (2016). Software test automation.  | P4 = ISO/IEC 25010:2011. Systems and software engineering – Syste | P5 = Selenium Documentation. (2025). https://www.selenium.dev/doc | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,1/16,"Definisi audit SI; ruang lingkup; peran auditor; jenis audit (internal, eksternal, kepatuhan, forensik)","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,2/16,Aset TI; risiko TI; tujuan pengendalian; kerangka COBIT,"P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,3/16,"ISACA: standar audit, pedoman; COBIT 2019: prinsip, domain; ISO 27001: klausul 9 (evaluasi kinerja)","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,4/16,Risk assessment; audit charter; audit program; resource planning; audit timeline,"P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,5/16,"Prosedur audit: kuesioner, observasi, sampling, computer-assisted audit techniques (CAATs)","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,6/16,Teknik wawancara; observasi; dokumentasi; sampling; pengujian kepatuhan dan substantif,"P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,7/16,"ITGC: organisasi (pemisahan tugas), SDM (rekrutmen, pelatihan), operasi (backup, BCP), akses fisik","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,8/16,Materi Minggu 1–7,"P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,9/16,"Pengendalian aplikasi: input (range check, validasi), proses (run-to-run), output (balancing), validasi","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,10/16,"Audit keamanan: access control, authentication, encryption, vulnerability assessment, incident response","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,11/16,"Infrastruktur: server, storage, network devices, data center (redundansi, UPS, pendingin)","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,12/16,"Audit DB: akses user, logging, encryption, backup, disaster recovery, data quality","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,13/16,"Struktur laporan audit: pendahuluan, temuan, kriteria, penyebab, dampak, rekomendasi, tindak lanjut","P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,14/16,Exit meeting; presentasi temuan; teknik komunikasi audit; penanganan perbedaan pendapat,"P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,15/16,Rencana tindak lanjut; status rekomendasi; follow-up audit; continuous monitoring,"P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3642,Audit Sistem Informasi,16/16,Materi Minggu 9–15,"P1 = ISACA. (2019). CISA Review Manual (27th ed.). ISACA. | P2 = ISACA. (2018). COBIT 2019 Framework: Introduction and Method | P3 = Hall, J. A. (2015). Information technology auditing (4th ed. | P4 = Senft, S., Gallegos, F., & Davis, A. (2018). Information tec | P5 = ISO/IEC 27001:2022. Information security, cybersecurity and  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,1/16,CIA Triad; ancaman internal/eksternal; kerentanan; manajemen risiko,"P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,2/16,"Malware, phishing, social engineering, DDoS; kontrol teknis dan administratif","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,3/16,"Kriptografi simetrik: AES, DES; mode ECB, CBC; key management","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,4/16,"RSA, ECC; digital envelope; hybrid cryptosystem","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,5/16,"Hash: MD5, SHA-1, SHA-256; digital signature; PKI; sertifikat X.509","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,6/16,"Autentikasi: knowledge, possession, inherence; MFA; biometric; SSO; IAM","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,7/16,"RBAC, ABAC; user provisioning; identity governance; directory service (LDAP, Active Directory)","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,8/16,Materi Minggu 1–7,"P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,9/16,"OWASP Top 10: injection, broken auth, XSS, CSRF, insecure deserialization, dll","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,10/16,Metodologi pentest; scanning; exploitation; post-exploitation; reporting,"P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,11/16,"Firewall (iptables/pfSense), IDS/IPS (Snort), VPN (IPsec, OpenVPN)","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,12/16,Incident response plan; tim CSIRT; forensik awal; business continuity,"P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,13/16,"Forensik disk, memory, network; chain of custody; tools: Autopsy, FTK Imager, Volatility","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,14/16,Analisis log; timeline analysis; malware reverse engineering dasar; koordinasi dengan penegak hukum,"P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,15/16,"UU ITE, UU PDP, ISO 27001 (klausul 4-10), GDPR, kepatuhan industri (PCI-DSS)","P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3643,Keamanan Sistem Informasi,16/16,Seluruh materi + proyek (implementasi keamanan pada sistem informasi studi kasus),"P1 = Stallings, W., & Brown, L. (2018). Computer security: Princi | P2 = Anderson, R. (2020). Security engineering: A guide to buildi | P3 = Vacca, J. R. (2017). Network and system security (2nd ed.).  | P4 = OWASP Foundation. (2025). OWASP Top 10 - 2025. https://owasp | P5 = ISO/IEC 27001:2022. Information security management systems  | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3645,UI Design and UX Design Practical,1/16,"Definisi UI, UX, user-centered design; prinsip desain (visibility, feedback, consistency, affordance)","P1 = Norman, D. (2013). The design of everyday things (Revised ed | P2 = Krug, S. (2014). Don't make me think, revisited: A common se | P3 = Nielsen, J. (2020). Usability engineering. Morgan Kaufmann. | P4 = Figma. (2025). Figma Help Center. https://help.figma.com/ | P5 = WCAG 2.1. (2018). Web Content Accessibility Guidelines. W3C. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3645,UI Design and UX Design Practical,2/16,Double diamond; design thinking; lean UX,"P1 = Norman, D. (2013). The design of everyday things (Revised ed | P2 = Krug, S. (2014). Don't make me think, revisited: A common se | P3 = Nielsen, J. (2020). Usability engineering. Morgan Kaufmann. | P4 = Figma. (2025). Figma Help Center. https://help.figma.com/ | P5 = WCAG 2.1. (2018). Web Content Accessibility Guidelines. W3C. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3645,UI Design and UX Design Practical,3/16,"Metode riset: wawancara, survei; user persona: goals, pain points, behaviors","P1 = Norman, D. (2013). The design of everyday things (Revised ed | P2 = Krug, S. (2014). Don't make me think, revisited: A common se | P3 = Nielsen, J. (2020). Usability engineering. Morgan Kaufmann. | P4 = Figma. (2025). Figma Help Center. https://help.figma.com/ | P5 = WCAG 2.1. (2018). Web Content Accessibility Guidelines. W3C. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3645,UI Design and UX Design Practical,4/16,"User journey map, empathy map, service blueprint","P1 = Norman, D. (2013). The design of everyday things (Revised ed | P2 = Krug, S. (2014). Don't make me think, revisited: A common se | P3 = Nielsen, J. (2020). Usability engineering. Morgan Kaufmann. | P4 = Figma. (2025). Figma Help Center. https://help.figma.com/ | P5 = WCAG 2.1. (2018). Web Content Accessibility Guidelines. W3C. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3645,UI Design and UX Design Practical,5/16,"Wireframing: konsep, tools (Figma, Balsamiq, Adobe XD), layout dasar","P1 = Norman, D. (2013). The design of everyday things (Revised ed | P2 = Krug, S. (2014). Don't make me think, revisited: A common se | P3 = Nielsen, J. (2020). Usability engineering. Morgan Kaufmann. | P4 = Figma. (2025). Figma Help Center. https://help.figma.com/ | P5 = WCAG 2.1. (2018). Web Content Accessibility Guidelines. W3C. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
TSI3645,UI Design and UX Design Practical,6/16,Prototyping di Figma; linking screens; component,"P1 = Norman, D. (2013). The design of everyday things (Revised ed | P2 = Krug, S. (2014). Don't make me think, revisited: A common se | P3 = Nielsen, J. (2020). Usability engineering. Morgan Kaufmann. | P4 = Figma. (2025). Figma Help Center. https://help.figma.com/ | P5 = WCAG 2.1. (2018). Web Content Accessibility Guidelines. W3C. | P6 = Buku Kurikulum Prodi S1 Sistem Informasi ITEKES Bintang Pers",
